DOID:11372	MESH:D008531
DOID:11379	MESH:D058429
DOID:1138	MESH:D008579
DOID:11382	MESH:D016510
DOID:11383	MESH:D003456
DOID:11387	MESH:D020802
DOID:11389	MESH:D013354
DOID:11400	MESH:D011704
DOID:11401	MESH:D011705
DOID:11405	MESH:D003354
DOID:11405	MESH:D004165
DOID:11406	MESH:D002833
DOID:1142	MESH:D005099
DOID:1143	MESH:D005099
DOID:11446	MESH:D020426
DOID:11459	MESH:D011559
DOID:11476	MESH:D010024
DOID:11476	MESH:D015663
DOID:1148	MESH:C562429
DOID:1148	MESH:D017689
DOID:11481	MESH:D010494
DOID:11482	MESH:D010490
DOID:11486	MESH:D006732
DOID:115	MESH:D002305
DOID:11502	MESH:D008944
DOID:11503	MESH:D003929
DOID:11506	MESH:D010035
DOID:11507	MESH:D019959
DOID:11512	MESH:D006502
DOID:11514	MESH:D014063
DOID:11527	MESH:D007829
DOID:11549	MESH:D000270
DOID:11550	MESH:D015840
DOID:11554	MESH:D057129
DOID:11555	MESH:D005642
DOID:1156	MESH:D002805
DOID:11561	MESH:D058437
DOID:11563	MESH:D031300
DOID:11569	MESH:D009449
DOID:11572	MESH:D008584
DOID:11573	MESH:D008088
DOID:11577	MESH:D011128
DOID:11589	MESH:D004402
DOID:11599	MESH:D013547
DOID:11603	MESH:D006177
DOID:11608	MESH:D016921
DOID:11612	MESH:D011085
DOID:11613	MESH:D017588
DOID:11615	MESH:D010412
DOID:11623	MESH:D003790
DOID:11624	MESH:D010412
DOID:11633	MESH:D018382
DOID:11634	MESH:D009230
DOID:11638	MESH:D011305
DOID:11656	MESH:D010390
DOID:1166	MESH:C538103
DOID:11661	MESH:D003117
DOID:11664	MESH:D009400
DOID:11665	MESH:C536305
DOID:11678	MESH:D009855
DOID:1168	MESH:D006949
DOID:1168	MESH:D006951
DOID:117	MESH:D006338
DOID:11701	MESH:D017098
DOID:11702	MESH:D004406
DOID:1171	MESH:D006954
DOID:11712	MESH:D003923
DOID:11713	MESH:D003925
DOID:11714	MESH:D016640
DOID:11716	MESH:D011236
DOID:11719	MESH:D039141
DOID:1172	MESH:D006953
DOID:11720	MESH:D049310
DOID:11721	MESH:D006014
DOID:11722	MESH:D009223
DOID:11723	MESH:D020388
DOID:11724	MESH:D049288
DOID:11725	MESH:D003635
DOID:11726	MESH:D020389
DOID:11727	MESH:D020391
DOID:11729	MESH:D008193
DOID:11729	MESH:D020852
DOID:11755	MESH:D042883
DOID:11759	MESH:D000747
DOID:1176	MESH:D001982
DOID:11771	MESH:D009759
DOID:11782	MESH:D001251
DOID:118	MESH:D010490
DOID:11801	MESH:D011502
DOID:11819	MESH:D014516
DOID:11823	MESH:D006530
DOID:11829	MESH:D047728
DOID:11830	MESH:D009216
DOID:11831	MESH:D019575
DOID:11832	MESH:D012640
DOID:11836	MESH:D003025
DOID:1184	MESH:D009404
DOID:11840	MESH:D003329
DOID:11847	MESH:D003328
DOID:11853	MESH:D005099
DOID:1187	MESH:D020429
DOID:11870	MESH:D020774
DOID:11875	MESH:D013282
DOID:1188	MESH:D020422
DOID:11885	MESH:D014516
DOID:119	MESH:D014625
DOID:11907	MESH:D004473
DOID:11914	MESH:D018589
DOID:1192	MESH:D010524
DOID:1192	MESH:D018317
DOID:11934	MESH:D006258
DOID:11949	MESH:D007562
DOID:11963	MESH:D004941
DOID:11971	MESH:D013580
DOID:11975	MESH:C535970
DOID:11976	MESH:D001906
DOID:11981	MESH:D009767
DOID:11983	MESH:D011218
DOID:11984	MESH:D002312
DOID:11984	MESH:D024741
DOID:11991	MESH:D010023
DOID:11996	MESH:D013086
DOID:11997	MESH:D013088
DOID:120	MESH:D005833
DOID:12010	MESH:D018917
DOID:12028	MESH:D006929
DOID:12029	MESH:D009879
DOID:12030	MESH:D015864
DOID:1205	MESH:D006967
DOID:12053	MESH:D003453
DOID:1206	MESH:D015518
DOID:12096	MESH:D011906
DOID:12098	MESH:D014277
DOID:121	MESH:D014623
DOID:1210	MESH:D009902
DOID:12117	MESH:C562405
DOID:12118	MESH:C536281
DOID:12119	MESH:D006486
DOID:12119	MESH:D019190
DOID:12120	MESH:D011649
DOID:12128	MESH:D010842
DOID:12129	MESH:D002032
DOID:12132	MESH:D014890
DOID:12134	MESH:D006467
DOID:12139	MESH:D019263
DOID:12143	MESH:D001750
DOID:12155	MESH:D008216
DOID:12156	MESH:D001100
DOID:12157	MESH:D008582
DOID:12169	MESH:D002349
DOID:1217	MESH:D005213
DOID:12170	MESH:D020425
DOID:12171	MESH:D020425
