GO_0047529	R01355
GO_0047603	R01358
GO_0047371	R01365
GO_0047602	R01366
GO_0047316	R01375
GO_0047299	R01376
GO_0047350	R01381
GO_0048040	R01384
GO_0047997	R01393
GO_0047633	R01417
GO_0047854	R01418
GO_0047980	R01424
GO_0047618	R01425
GO_0047837	R01430
GO_0047825	R01448
GO_0047940	R01476
GO_0047939	R01481
GO_0047690	R01485
GO_0047072	R01506
GO_0045133	R01507
GO_0047563	R01508
GO_0047572	R01511
GO_0046562	R01522
GO_0047862	R01533
GO_0047360	R01535
GO_0047929	R01538
GO_0047000	R01543
GO_0047866	R01564
GO_0047865	R01565
GO_0047814	R01573
GO_0047439	R01576
GO_0047421	R01581
GO_0047820	R01583
GO_0047943	R01585
GO_0047148	R01586
GO_0047677	R01594
GO_0047676	R01598
GO_0047565	R01608
GO_0047557	R01609
GO_0047634	R01617
GO_0047352	R01619
GO_0047120	R01633
GO_0047556	R01634
GO_0047577	R01644
GO_0047863	R01659
GO_0047933	R01660
GO_0047153	R01669
GO_0047822	R01681
GO_0047761	R01688
GO_0047888	R01703
GO_0047300	R01712
GO_0046820	R01716
GO_0046316	R01737
GO_0047440	R01782
GO_0047185	R01806
GO_0047040	R01812
GO_0048001	R01825
GO_0047096	R01833
GO_0047035	R01836
GO_0047045	R01838
GO_0047986	R01850
GO_0047680	R01862
GO_0047519	R01873
GO_0047080	R01879
GO_0047789	R01884
GO_0047663	R01889
GO_0047493	R01891
GO_0046526	R01896
GO_0047828	R01898
GO_0047842	R01905
GO_0047231	R01912
GO_0047041	R01921
GO_0047773	R01922
GO_0047258	R01928
GO_0047354	R01929
GO_0047401	R01930
GO_0047550	R01932
GO_0047536	R01939
GO_0047174	R01944
GO_0047168	R01946
GO_0047341	R01951
GO_0047315	R01957
GO_0047722	R01971
GO_0047912	R01980
GO_0047971	R01990
GO_0047926	R02007
GO_0047305	R02050
GO_0047309	R02077
GO_0047994	R02083
GO_0046539	R02155
GO_0047894	R02159
GO_0047504	R02177
GO_0047505	R02178
GO_0047219	R02179
GO_0047422	R02182
GO_0047301	R02200
GO_0047446	R02232
GO_0047797	R02234
GO_0047897	R02238
GO_0047613	R02243
GO_0047614	R02244
GO_0047665	R02271
GO_0047589	R02274
GO_0047449	R02278
GO_0047448	R02279
GO_0047425	R02280
GO_0047771	R02284
GO_0047307	R02293
GO_0047887	R02303
GO_0045482	R02306
GO_0047131	R02313
GO_0047755	R02318
GO_0047342	R02329
GO_0047719	R02338
GO_0047156	R02345
GO_0047376	R02368
GO_0050253	R02368
GO_0047875	R02373
GO_0047705	R02394
GO_0047728	R02395
GO_0047729	R02398
GO_0047948	R02402
GO_0044540	R02408
GO_0047733	R02426
GO_0047878	R02430
GO_0047002	R02441
GO_0047090	R02449
GO_0047110	R02450
GO_0047962	R02452
GO_0047672	R02453
GO_0047817	R02458
GO_0047831	R02461
GO_0047543	R02463
GO_0047800	R02467
GO_0047835	R02481
GO_0047836	R02482
GO_0047079	R02486
GO_0047923	R02489
GO_0047475	R02539
GO_0047501	R02548
GO_0047413	R02552
GO_0047799	R02554
GO_0047494	R02563
GO_0047147	R02573
GO_0047869	R02574
GO_0047973	R02575
GO_0047390	R02591
GO_0047460	R02605
GO_0047751	R02610
GO_0047365	R02632
GO_0047366	R02633
GO_0047393	R02648
GO_0047922	R02656
GO_0047841	R02658
GO_0047561	R02666
GO_0047579	R02673
GO_0047018	R02679
GO_0047019	R02680
GO_0046509	R02691
GO_0047085	R02708
GO_0047239	R02709
GO_0047581	R02711
GO_0047582	R02712
GO_0047815	R02714
GO_0047386	R02730
GO_0047983	R02741
GO_0047135	R02742
GO_0047850	R02755
GO_0047511	R02764
GO_0047003	R02776
GO_0047310	R02781
GO_0047482	R02786
GO_0047013	R02793
GO_0047387	R02817
GO_0047150	R02821
GO_0047784	R02837
GO_0047785	R02839
GO_0047826	R02852
GO_0047786	R02892
GO_0047170	R02899
GO_0047349	R02921
GO_0047713	R02928
GO_0047942	R02929
GO_0047610	R02942
GO_0047500	R02944
GO_0047503	R02945
GO_0047604	R02949
GO_0047706	R02954
GO_0047067	R02965
GO_0047993	R02969
GO_0047308	R02970
GO_0047560	R02978
GO_0047668	R02985
GO_0047541	R02986
GO_0047542	R02987
GO_0047585	R02992
GO_0045481	R02994
GO_0047597	R02995
GO_0047745	R02997
GO_0047204	R02998
GO_0047306	R03001
GO_0047049	R03021
GO_0047050	R03022
GO_0047459	R03030
GO_0047675	R03032
GO_0047007	R03043
GO_0047008	R03044
GO_0047520	R03049
GO_0047921	R03056
GO_0047739	R03062
GO_0047740	R03063
GO_0047868	R03069
GO_0047202	R03075
GO_0047882	R03086
GO_0047215	R03094
GO_0047721	R03095
GO_0047858	R03127
GO_0047458	R03134
GO_0047059	R03136
